PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=830 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=843 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=832 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=844 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=842 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=839 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=843 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=840 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=845 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=843 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=848 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=853 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=836 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=849 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=846 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=850 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=847 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=844 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=858 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=854 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=858 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=855 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=859 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=866 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=861 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=858 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=847 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=876 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=865 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=862 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=867 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=864 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=869 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=865 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=862 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=867 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=864 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=869 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=874 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=871 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=884 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=872 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=878 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=874 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=887 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=892 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=880 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=877 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=882 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=879 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=884 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=881 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=877 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=890 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=887 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=892 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=889 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=885 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=891 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=888 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=885 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=889 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=886 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=908 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=897 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=901 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=899 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=895 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=901 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=898 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=894 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=908 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=901 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=906 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=907 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=912 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=917 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=905 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=903 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=916 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=915 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=913 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=915 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=915 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=915 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=916 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=911 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=916 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=923 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=923 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=920 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=923 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=924 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=923 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=931 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=927 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=924 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=924 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=932 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=937 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=931 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=931 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=931 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=928 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=939 ms
64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=928 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=931 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=926 ms
64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=936 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=939 ms
64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=940 ms
64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=947 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=945 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=939 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=939 ms
64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=947 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=943 ms
64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=941 ms
64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=943 ms
64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=948 ms
64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=945 ms
64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=942 ms
64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=947 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=951 ms
64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=965 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=954 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=950 ms
64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=956 ms
64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=953 ms
64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=949 ms
64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=963 ms
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=960 ms
64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=965 ms
64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=954 ms
64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=959 ms
64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=972 ms
64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=961 ms
64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=965 ms
64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=961 ms
64 bytes from 10.0.0.2: icmp_seq=344 ttl=64 time=966 ms
64 bytes from 10.0.0.2: icmp_seq=345 ttl=64 time=963 ms
64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=960 ms
64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=973 ms
64 bytes from 10.0.0.2: icmp_seq=348 ttl=64 time=962 ms
64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=958 ms
64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=972 ms
64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=969 ms
64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=982 ms
64 bytes from 10.0.0.2: icmp_seq=353 ttl=64 time=970 ms
64 bytes from 10.0.0.2: icmp_seq=354 ttl=64 time=976 ms
64 bytes from 10.0.0.2: icmp_seq=355 ttl=64 time=973 ms
64 bytes from 10.0.0.2: icmp_seq=356 ttl=64 time=979 ms
64 bytes from 10.0.0.2: icmp_seq=357 ttl=64 time=967 ms
64 bytes from 10.0.0.2: icmp_seq=358 ttl=64 time=972 ms
64 bytes from 10.0.0.2: icmp_seq=359 ttl=64 time=968 ms
64 bytes from 10.0.0.2: icmp_seq=360 ttl=64 time=982 ms
64 bytes from 10.0.0.2: icmp_seq=361 ttl=64 time=978 ms
64 bytes from 10.0.0.2: icmp_seq=362 ttl=64 time=983 ms
64 bytes from 10.0.0.2: icmp_seq=363 ttl=64 time=979 ms
64 bytes from 10.0.0.2: icmp_seq=364 ttl=64 time=976 ms
64 bytes from 10.0.0.2: icmp_seq=365 ttl=64 time=988 ms
64 bytes from 10.0.0.2: icmp_seq=366 ttl=64 time=985 ms
64 bytes from 10.0.0.2: icmp_seq=367 ttl=64 time=990 ms
64 bytes from 10.0.0.2: icmp_seq=368 ttl=64 time=987 ms
64 bytes from 10.0.0.2: icmp_seq=369 ttl=64 time=983 ms
64 bytes from 10.0.0.2: icmp_seq=370 ttl=64 time=988 ms
64 bytes from 10.0.0.2: icmp_seq=371 ttl=64 time=986 ms
64 bytes from 10.0.0.2: icmp_seq=372 ttl=64 time=982 ms
64 bytes from 10.0.0.2: icmp_seq=373 ttl=64 time=995 ms
64 bytes from 10.0.0.2: icmp_seq=374 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=375 ttl=64 time=988 ms
64 bytes from 10.0.0.2: icmp_seq=376 ttl=64 time=993 ms
64 bytes from 10.0.0.2: icmp_seq=377 ttl=64 time=998 ms
64 bytes from 10.0.0.2: icmp_seq=378 ttl=64 time=995 ms
64 bytes from 10.0.0.2: icmp_seq=379 ttl=64 time=991 ms
64 bytes from 10.0.0.2: icmp_seq=380 ttl=64 time=997 ms
64 bytes from 10.0.0.2: icmp_seq=381 ttl=64 time=994 ms
64 bytes from 10.0.0.2: icmp_seq=382 ttl=64 time=991 ms
64 bytes from 10.0.0.2: icmp_seq=383 ttl=64 time=996 ms
64 bytes from 10.0.0.2: icmp_seq=384 ttl=64 time=1000 ms
64 bytes from 10.0.0.2: icmp_seq=385 ttl=64 time=998 ms
64 bytes from 10.0.0.2: icmp_seq=386 ttl=64 time=995 ms
64 bytes from 10.0.0.2: icmp_seq=387 ttl=64 time=996 ms
64 bytes from 10.0.0.2: icmp_seq=388 ttl=64 time=993 ms
64 bytes from 10.0.0.2: icmp_seq=389 ttl=64 time=990 ms
64 bytes from 10.0.0.2: icmp_seq=390 ttl=64 time=1003 ms
64 bytes from 10.0.0.2: icmp_seq=391 ttl=64 time=1001 ms
64 bytes from 10.0.0.2: icmp_seq=392 ttl=64 time=998 ms
64 bytes from 10.0.0.2: icmp_seq=393 ttl=64 time=1003 ms
64 bytes from 10.0.0.2: icmp_seq=394 ttl=64 time=1013 ms
64 bytes from 10.0.0.2: icmp_seq=395 ttl=64 time=1001 ms
64 bytes from 10.0.0.2: icmp_seq=396 ttl=64 time=1006 ms
64 bytes from 10.0.0.2: icmp_seq=397 ttl=64 time=1003 ms
64 bytes from 10.0.0.2: icmp_seq=398 ttl=64 time=1000 ms
64 bytes from 10.0.0.2: icmp_seq=399 ttl=64 time=1013 ms
64 bytes from 10.0.0.2: icmp_seq=400 ttl=64 time=1013 ms
64 bytes from 10.0.0.2: icmp_seq=401 ttl=64 time=1011 ms
64 bytes from 10.0.0.2: icmp_seq=402 ttl=64 time=1016 ms
64 bytes from 10.0.0.2: icmp_seq=403 ttl=64 time=1012 ms
64 bytes from 10.0.0.2: icmp_seq=404 ttl=64 time=1008 ms
64 bytes from 10.0.0.2: icmp_seq=405 ttl=64 time=1013 ms
64 bytes from 10.0.0.2: icmp_seq=406 ttl=64 time=1012 ms
64 bytes from 10.0.0.2: icmp_seq=407 ttl=64 time=1009 ms
64 bytes from 10.0.0.2: icmp_seq=408 ttl=64 time=1022 ms
64 bytes from 10.0.0.2: icmp_seq=409 ttl=64 time=1021 ms
64 bytes from 10.0.0.2: icmp_seq=410 ttl=64 time=1020 ms
64 bytes from 10.0.0.2: icmp_seq=411 ttl=64 time=1018 ms
64 bytes from 10.0.0.2: icmp_seq=412 ttl=64 time=1028 ms
64 bytes from 10.0.0.2: icmp_seq=413 ttl=64 time=1025 ms
64 bytes from 10.0.0.2: icmp_seq=414 ttl=64 time=1022 ms
64 bytes from 10.0.0.2: icmp_seq=415 ttl=64 time=1019 ms
64 bytes from 10.0.0.2: icmp_seq=416 ttl=64 time=1020 ms
64 bytes from 10.0.0.2: icmp_seq=417 ttl=64 time=1016 ms
64 bytes from 10.0.0.2: icmp_seq=418 ttl=64 time=1021 ms
64 bytes from 10.0.0.2: icmp_seq=419 ttl=64 time=1029 ms
